state_id,State,year,y,n,prevalence
1.0,Sokoto,2010,133,168,0.7916666666666666
2.0,Zamfara,2010,71,102,0.696078431372549
3.0,Katsina,2010,193,274,0.7043795620437956
4.0,Jigawa,2010,44,104,0.4230769230769231
5.0,Yobe,2010,86,123,0.6991869918699187
6.0,Borno,2010,80,146,0.547945205479452
7.0,Adamawa,2010,39,141,0.2765957446808511
8.0,Gombe,2010,38,152,0.25
9.0,Bauchi,2010,111,253,0.43873517786561267
10.0,Kano,2010,111,288,0.3854166666666667
11.0,Kaduna,2010,62,231,0.2683982683982684
12.0,Kebbi,2010,67,93,0.7204301075268817
13.0,Niger,2010,81,182,0.44505494505494503
14.0,FCT Abuja,2010,9,53,0.16981132075471697
15.0,Nasarawa,2010,40,116,0.3448275862068966
16.0,Plateau,2010,65,123,0.5284552845528455
17.0,Taraba,2010,27,96,0.28125
18.0,Benue,2010,99,207,0.4782608695652174
19.0,Kogi,2010,52,125,0.416
20.0,Kwara,2010,49,83,0.5903614457831325
21.0,Oyo,2010,57,127,0.44881889763779526
22.0,Osun,2010,51,62,0.8225806451612904
23.0,Ekiti,2010,25,65,0.38461538461538464
24.0,Ondo,2010,49,79,0.620253164556962
25.0,Edo,2010,69,132,0.5227272727272727
26.0,Anambra,2010,17,134,0.12686567164179105
27.0,Enugu,2010,50,146,0.3424657534246575
28.0,Ebonyi,2010,60,119,0.5042016806722689
29.0,Cross River,2010,57,121,0.47107438016528924
30.0,Akwa Ibom,2010,141,205,0.6878048780487804
31.0,Abia,2010,49,97,0.5051546391752577
32.0,Imo,2010,44,144,0.3055555555555556
33.0,Rivers,2010,142,196,0.7244897959183674
34.0,Bayelsa,2010,34,124,0.27419354838709675
35.0,Delta,2010,72,185,0.3891891891891892
36.0,Lagos,2010,25,106,0.2358490566037736
37.0,Ogun,2010,29,45,0.6444444444444445
1.0,Sokoto,2015,142,208,0.6826923076923077
2.0,Zamfara,2015,139,203,0.6847290640394089
3.0,Katsina,2015,131,248,0.5282258064516129
4.0,Jigawa,2015,154,264,0.5833333333333334
5.0,Yobe,2015,86,250,0.344
6.0,Borno,2015,3,46,0.06521739130434782
7.0,Adamawa,2015,117,211,0.5545023696682464
8.0,Gombe,2015,84,187,0.44919786096256686
9.0,Bauchi,2015,92,246,0.37398373983739835
10.0,Kano,2015,115,193,0.5958549222797928
11.0,Kaduna,2015,112,207,0.5410628019323671
12.0,Kebbi,2015,85,183,0.4644808743169399
13.0,Niger,2015,91,184,0.4945652173913043
14.0,FCT Abuja,2015,37,102,0.3627450980392157
15.0,Nasarawa,2015,132,233,0.5665236051502146
16.0,Plateau,2015,128,227,0.5638766519823789
17.0,Taraba,2015,112,218,0.5137614678899083
18.0,Benue,2015,76,159,0.4779874213836478
19.0,Kogi,2015,40,172,0.23255813953488372
20.0,Kwara,2015,64,125,0.512
21.0,Oyo,2015,55,134,0.41044776119402987
22.0,Osun,2015,55,100,0.55
23.0,Ekiti,2015,41,118,0.3474576271186441
24.0,Ondo,2015,55,116,0.47413793103448276
25.0,Edo,2015,33,90,0.36666666666666664
26.0,Anambra,2015,20,92,0.21739130434782608
27.0,Enugu,2015,39,118,0.3305084745762712
28.0,Ebonyi,2015,85,173,0.4913294797687861
29.0,Cross River,2015,41,113,0.36283185840707965
30.0,Akwa Ibom,2015,28,107,0.2616822429906542
31.0,Abia,2015,21,107,0.19626168224299065
32.0,Imo,2015,27,105,0.2571428571428571
33.0,Rivers,2015,24,121,0.19834710743801653
34.0,Bayelsa,2015,79,211,0.3744075829383886
35.0,Delta,2015,28,132,0.21212121212121213
36.0,Lagos,2015,4,188,0.02127659574468085
37.0,Ogun,2015,51,134,0.3805970149253731
1.0,Sokoto,2021,158,377,0.41909814323607425
2.0,Zamfara,2021,249,360,0.6916666666666667
3.0,Katsina,2021,217,452,0.48008849557522126
4.0,Jigawa,2021,230,400,0.575
5.0,Yobe,2021,231,374,0.6176470588235294
6.0,Borno,2021,83,344,0.24127906976744187
7.0,Adamawa,2021,67,261,0.2567049808429119
8.0,Gombe,2021,96,264,0.36363636363636365
9.0,Bauchi,2021,239,416,0.5745192307692307
10.0,Kano,2021,283,531,0.5329566854990584
11.0,Kaduna,2021,138,425,0.3247058823529412
12.0,Kebbi,2021,284,395,0.7189873417721518
13.0,Niger,2021,156,375,0.416
14.0,FCT Abuja,2021,75,243,0.30864197530864196
15.0,Nasarawa,2021,140,452,0.30973451327433627
16.0,Plateau,2021,84,326,0.25766871165644173
17.0,Taraba,2021,109,389,0.2802056555269923
18.0,Benue,2021,94,321,0.29283489096573206
19.0,Kogi,2021,66,206,0.32038834951456313
20.0,Kwara,2021,34,170,0.2
21.0,Oyo,2021,53,179,0.29608938547486036
22.0,Osun,2021,39,149,0.26174496644295303
23.0,Ekiti,2021,49,150,0.32666666666666666
24.0,Ondo,2021,91,211,0.4312796208530806
25.0,Edo,2021,36,105,0.34285714285714286
26.0,Anambra,2021,37,196,0.18877551020408162
27.0,Enugu,2021,64,224,0.2857142857142857
28.0,Ebonyi,2021,86,303,0.2838283828382838
29.0,Cross River,2021,93,237,0.3924050632911392
30.0,Akwa Ibom,2021,50,156,0.32051282051282054
31.0,Abia,2021,60,231,0.2597402597402597
32.0,Imo,2021,50,198,0.25252525252525254
33.0,Rivers,2021,130,349,0.37249283667621774
34.0,Bayelsa,2021,75,245,0.30612244897959184
35.0,Delta,2021,85,349,0.24355300859598855
36.0,Lagos,2021,5,181,0.027624309392265192
37.0,Ogun,2021,72,173,0.4161849710982659
