clinic_id,month,total_visits,available_doctors,available_nurses,available_beds,power_availability_days,rainfall_mm,avg_temperature_c,source
NGA-041701,2020-01,51,1,2,15,22,35.4,30.9,synthetic_ng_v1
NGA-041701,2020-02,60,1,2,15,25,37.4,26.2,synthetic_ng_v1
NGA-041701,2020-03,53,1,2,15,16,36.6,31.9,synthetic_ng_v1
NGA-041701,2020-04,61,1,2,15,24,40.1,30.0,synthetic_ng_v1
NGA-041701,2020-05,62,1,2,15,25,46.0,31.9,synthetic_ng_v1
NGA-041701,2020-06,67,1,2,15,28,8.8,31.5,synthetic_ng_v1
NGA-041701,2020-07,68,1,2,15,27,45.6,31.3,synthetic_ng_v1
NGA-041701,2020-08,57,1,2,15,26,45.7,29.5,synthetic_ng_v1
NGA-041701,2020-09,55,1,2,15,26,38.5,30.8,synthetic_ng_v1
NGA-041701,2020-10,46,1,2,15,29,39.3,29.5,synthetic_ng_v1
NGA-041701,2020-11,43,1,2,15,27,27.2,30.0,synthetic_ng_v1
NGA-041701,2020-12,44,1,2,15,24,16.3,25.9,synthetic_ng_v1
NGA-041701,2021-01,54,1,2,15,21,30.2,31.3,synthetic_ng_v1
NGA-041701,2021-02,57,1,2,15,25,31.5,31.3,synthetic_ng_v1
NGA-041701,2021-03,56,1,2,15,25,33.5,32.1,synthetic_ng_v1
NGA-041701,2021-04,69,1,2,15,29,45.8,27.8,synthetic_ng_v1
NGA-041701,2021-05,66,1,2,15,23,40.3,30.3,synthetic_ng_v1
NGA-041701,2021-06,61,1,2,15,27,60.9,30.5,synthetic_ng_v1
NGA-041701,2021-07,51,1,2,15,19,53.5,27.6,synthetic_ng_v1
NGA-041701,2021-08,49,1,2,15,29,93.9,33.6,synthetic_ng_v1
NGA-041701,2021-09,55,1,2,15,22,93.7,32.8,synthetic_ng_v1
NGA-041701,2021-10,51,1,2,15,19,5.9,30.5,synthetic_ng_v1
NGA-041701,2021-11,47,1,2,15,28,12.6,31.1,synthetic_ng_v1
NGA-041701,2021-12,47,1,2,15,22,18.9,25.7,synthetic_ng_v1
NGA-041701,2022-01,48,1,2,15,22,12.7,30.9,synthetic_ng_v1
NGA-041701,2022-02,60,1,2,15,26,27.7,32.1,synthetic_ng_v1
NGA-041701,2022-03,64,1,2,15,24,45.3,27.7,synthetic_ng_v1
NGA-041701,2022-04,66,1,2,15,20,29.0,30.9,synthetic_ng_v1
NGA-041701,2022-05,47,1,2,15,28,44.3,24.2,synthetic_ng_v1
NGA-041701,2022-06,56,1,2,15,22,53.5,32.1,synthetic_ng_v1
NGA-041701,2022-07,66,1,2,15,16,39.2,32.1,synthetic_ng_v1
NGA-041701,2022-08,52,1,2,15,21,70.3,27.6,synthetic_ng_v1
NGA-041701,2022-09,52,1,2,15,17,98.0,31.5,synthetic_ng_v1
NGA-041701,2022-10,58,1,2,15,18,23.1,32.6,synthetic_ng_v1
NGA-041701,2022-11,47,1,2,15,21,35.5,27.7,synthetic_ng_v1
NGA-041701,2022-12,39,1,2,15,19,16.9,30.2,synthetic_ng_v1
NGA-041701,2023-01,48,1,2,15,20,30.3,26.4,synthetic_ng_v1
NGA-041701,2023-02,62,1,2,15,24,22.9,34.0,synthetic_ng_v1
NGA-041701,2023-03,58,1,2,15,24,9.4,28.7,synthetic_ng_v1
NGA-041701,2023-04,61,1,2,15,22,49.6,27.6,synthetic_ng_v1
NGA-041701,2023-05,62,1,2,15,22,38.5,28.7,synthetic_ng_v1
NGA-041701,2023-06,64,1,2,15,24,50.0,31.0,synthetic_ng_v1
NGA-041701,2023-07,59,1,2,15,23,59.1,31.6,synthetic_ng_v1
NGA-041701,2023-08,61,1,2,15,18,75.1,33.4,synthetic_ng_v1
NGA-041701,2023-09,57,1,2,15,30,15.2,30.4,synthetic_ng_v1
NGA-041701,2023-10,49,1,2,15,24,38.6,28.9,synthetic_ng_v1
NGA-041701,2023-11,47,1,2,15,24,24.2,29.4,synthetic_ng_v1
NGA-041701,2023-12,52,1,2,15,25,23.9,27.3,synthetic_ng_v1
NGA-041701,2024-01,55,1,2,15,24,39.5,31.9,synthetic_ng_v1
NGA-041701,2024-02,71,1,2,15,21,40.6,29.8,synthetic_ng_v1
NGA-041701,2024-03,64,1,2,15,25,29.2,28.7,synthetic_ng_v1
NGA-041701,2024-04,58,1,2,15,23,14.9,32.2,synthetic_ng_v1
NGA-041701,2024-05,72,1,2,15,18,53.8,31.3,synthetic_ng_v1
NGA-041701,2024-06,65,1,2,15,30,91.8,30.0,synthetic_ng_v1
NGA-041701,2024-07,63,1,2,15,26,71.2,28.7,synthetic_ng_v1
NGA-041701,2024-08,56,1,2,15,24,72.4,28.4,synthetic_ng_v1
NGA-041701,2024-09,41,1,2,15,26,32.0,27.1,synthetic_ng_v1
NGA-041701,2024-10,48,1,2,15,29,39.1,29.0,synthetic_ng_v1
NGA-041701,2024-11,55,1,2,15,24,45.9,29.2,synthetic_ng_v1
NGA-041701,2024-12,51,1,2,15,20,29.1,32.0,synthetic_ng_v1
NGA-029647,2020-01,43,1,1,5,30,117.5,29.0,synthetic_ng_v1
NGA-029647,2020-02,56,1,1,5,26,43.9,26.5,synthetic_ng_v1
NGA-029647,2020-03,50,1,1,5,27,91.3,26.3,synthetic_ng_v1
NGA-029647,2020-04,60,1,1,5,25,125.1,32.3,synthetic_ng_v1
NGA-029647,2020-05,51,1,1,5,21,72.2,25.3,synthetic_ng_v1
NGA-029647,2020-06,59,1,1,5,25,62.5,30.6,synthetic_ng_v1
NGA-029647,2020-07,54,1,1,5,27,117.2,27.7,synthetic_ng_v1
NGA-029647,2020-08,44,1,1,5,22,157.5,27.7,synthetic_ng_v1
NGA-029647,2020-09,42,1,1,5,24,37.1,27.6,synthetic_ng_v1
NGA-029647,2020-10,40,1,1,5,15,86.9,28.1,synthetic_ng_v1
NGA-029647,2020-11,46,1,1,5,19,101.0,28.6,synthetic_ng_v1
NGA-029647,2020-12,42,1,1,5,23,120.7,29.2,synthetic_ng_v1
NGA-029647,2021-01,50,1,1,5,24,67.9,28.7,synthetic_ng_v1
NGA-029647,2021-02,58,1,1,5,24,92.2,29.2,synthetic_ng_v1
NGA-029647,2021-03,64,1,1,5,16,115.9,26.8,synthetic_ng_v1
NGA-029647,2021-04,61,1,1,5,21,96.2,25.4,synthetic_ng_v1
NGA-029647,2021-05,51,1,1,5,29,79.1,27.2,synthetic_ng_v1
NGA-029647,2021-06,60,1,1,5,25,93.7,28.3,synthetic_ng_v1
NGA-029647,2021-07,53,1,1,5,25,175.7,28.3,synthetic_ng_v1
NGA-029647,2021-08,55,1,1,5,24,135.0,28.2,synthetic_ng_v1
NGA-029647,2021-09,49,1,1,5,20,158.6,28.1,synthetic_ng_v1
NGA-029647,2021-10,42,1,1,5,30,87.1,28.3,synthetic_ng_v1
NGA-029647,2021-11,57,1,1,5,24,101.5,29.6,synthetic_ng_v1
NGA-029647,2021-12,43,1,1,5,20,75.9,28.5,synthetic_ng_v1
NGA-029647,2022-01,54,1,1,5,25,96.0,29.3,synthetic_ng_v1
NGA-029647,2022-02,56,1,1,5,30,85.0,27.5,synthetic_ng_v1
NGA-029647,2022-03,61,1,1,5,20,65.0,27.0,synthetic_ng_v1
NGA-029647,2022-04,61,1,1,5,23,76.3,28.2,synthetic_ng_v1
NGA-029647,2022-05,59,1,1,5,24,60.9,26.4,synthetic_ng_v1
NGA-029647,2022-06,53,1,1,5,26,148.0,26.8,synthetic_ng_v1
NGA-029647,2022-07,57,1,1,5,29,107.0,26.6,synthetic_ng_v1
NGA-029647,2022-08,42,1,1,5,30,161.0,29.9,synthetic_ng_v1
NGA-029647,2022-09,43,1,1,5,20,96.6,27.1,synthetic_ng_v1
NGA-029647,2022-10,45,1,1,5,25,78.4,26.2,synthetic_ng_v1
NGA-029647,2022-11,44,1,1,5,26,103.4,28.8,synthetic_ng_v1
NGA-029647,2022-12,39,1,1,5,16,155.9,28.4,synthetic_ng_v1
NGA-029647,2023-01,45,1,1,5,23,32.3,28.0,synthetic_ng_v1
NGA-029647,2023-02,49,1,1,5,26,152.3,28.8,synthetic_ng_v1
NGA-029647,2023-03,47,1,1,5,24,56.0,28.1,synthetic_ng_v1
NGA-029647,2023-04,53,1,1,5,23,82.2,28.0,synthetic_ng_v1
NGA-029647,2023-05,59,1,1,5,24,70.7,27.7,synthetic_ng_v1
